Year(s) of Live Birth,Patient County,Demographic Characteristics,Sort Order,Demographic Strata,"Live Births
(N)","Live Births
(%)",Any Sepsis Events Peripartum (N),"Any Sepsis Events Peripartum (per 100,000)",Severe Sepsis/Septic Shock Peripartum (N),"Severe Sepsis/Septic Shock Peripartum(per 100,000)",Any Sepsis Events During Pregnancy (N),"Any Sepsis Events During Pregnancy (per 100,000)",Severe Sepsis/ Septic Shock During Pregnancy (N),"Severe Sepsis/ Septic Shock During Pregnancy
(per 100,000)",Any Sepsis Events During Delivery (N),"Any Sepsis Events During Delivery (per 100,000)",Severe Sepsis/ Septic Shock During Delivery (N),"Severe Sepsis/ Septic Shock During Delivery
(per 100,000)",Any Sepsis Events During Post-Partum (N),"Any Sepsis Events During Post-Partum (per 100,000)",Severe Sepsis/ Septic Shock During Post-Partum (N),"Severe Sepsis/ Septic Shock During Post-Partum
(per 100,000)"
2016-2018,Allegany,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",15,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Race/Ethnicity,6,"Other, Non-Hispanic",1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Allegany,Total,1,Total,"1,186",100,2,168.63,0,0,0,0,0,0,0,0,0,0,2,168.63,0,0
2016-2018,Bronx,Age Group,1,<20,"4,486",7.77,34,757.91,16,356.67,16,356.67,11,245.21,10,222.92,3,66.87,8,178.33,2,44.58
2016-2018,Bronx,Age Group,2,20-35,"44,139",76.49,153,346.63,34,77.03,43,97.42,9,20.39,69,156.32,17,38.51,42,95.15,9,20.39
2016-2018,Bronx,Age Group,3,>35,"9,080",15.74,44,484.58,8,88.11,5,55.07,1,11.01,17,187.22,3,33.04,23,253.3,4,44.05
2016-2018,Bronx,Education,1,Less than high school,"14,832",25.7,68,458.47,22,148.33,23,155.07,11,74.16,25,168.55,6,40.45,20,134.84,5,33.71
2016-2018,Bronx,Education,2,High school graduate or GED,"14,599",25.3,63,431.54,13,89.05,18,123.3,4,27.4,25,171.24,7,47.95,21,143.85,2,13.7
2016-2018,Bronx,Education,3,Some College,"11,126",19.28,44,395.47,9,80.89,10,89.88,2,17.98,16,143.81,3,26.96,18,161.78,4,35.95
2016-2018,Bronx,Education,4,AA Degree,"4,493",7.79,25,556.42,8,178.05,6,133.54,2,44.51,11,244.83,4,89.03,9,200.31,3,66.77
2016-2018,Bronx,Education,5,BA degree or higher,"10,876",18.85,23,211.47,4,36.78,5,45.97,2,18.39,13,119.53,1,9.19,5,45.97,1,9.19
2016-2018,Bronx,Education,6,Unknown,106,0.18,2,1886.79,1,943.4,0,0,0,0,2,1886.79,1,943.4,0,0,0,0
2016-2018,Bronx,Race/Ethnicity,1,"White, Non-Hispanic","4,068",7.05,7,172.07,3,73.75,1,24.58,1,24.58,4,98.33,2,49.16,2,49.16,0,0
2016-2018,Bronx,Race/Ethnicity,2,"Black, Non-Hispanic","17,010",29.48,66,388.01,15,88.18,19,111.7,3,17.64,30,176.37,7,41.15,17,99.94,5,29.39
2016-2018,Bronx,Race/Ethnicity,3,Hispanic,"32,307",55.99,149,461.2,37,114.53,43,133.1,17,52.62,57,176.43,13,40.24,51,157.86,8,24.76
2016-2018,Bronx,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",164,0.28,1,609.76,0,0,0,0,0,0,0,0,0,0,1,609.76,0,0
2016-2018,Bronx,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic","2,981",5.17,5,167.73,2,67.09,1,33.55,0,0,3,100.64,1,33.55,1,33.55,1,33.55
2016-2018,Bronx,Race/Ethnicity,6,"Other, Non-Hispanic",769,1.33,3,390.12,1,130.04,0,0,0,0,2,260.08,0,0,1,130.04,1,130.04
2016-2018,Bronx,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",406,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Bronx,Total,1,Total,"57,705",100,231,400.31,58,100.51,64,110.91,21,36.39,96,166.36,23,39.86,73,126.51,15,25.99
2016-2018,Broome,Age Group,1,<20,509,8.92,6,1178.78,1,196.46,3,589.39,0,0,1,196.46,1,196.46,2,392.93,0,0
2016-2018,Broome,Age Group,2,20-35,"4,581",80.31,9,196.46,1,21.83,6,130.98,1,21.83,0,0,0,0,3,65.49,0,0
2016-2018,Broome,Age Group,3,>35,614,10.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Education,1,Less than high school,580,10.17,1,172.41,0,0,1,172.41,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Education,2,High school graduate or GED,"1,168",20.48,7,599.32,1,85.62,2,171.23,0,0,1,85.62,1,85.62,4,342.47,0,0
2016-2018,Broome,Education,3,Some College,816,14.31,2,245.1,0,0,2,245.1,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Education,4,AA Degree,514,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Education,5,BA degree or higher,"1,135",19.9,1,88.11,1,88.11,1,88.11,1,88.11,0,0,0,0,0,0,0,0
2016-2018,Broome,Education,6,Unknown,6,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Race/Ethnicity,1,"White, Non-Hispanic","4,538",79.56,13,286.47,2,44.07,9,198.33,1,22.04,1,22.04,1,22.04,3,66.11,0,0
2016-2018,Broome,Race/Ethnicity,2,"Black, Non-Hispanic",613,10.75,1,163.13,0,0,0,0,0,0,0,0,0,0,1,163.13,0,0
2016-2018,Broome,Race/Ethnicity,3,Hispanic,201,3.52,1,497.51,0,0,0,0,0,0,0,0,0,0,1,497.51,0,0
2016-2018,Broome,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",4,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",142,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Race/Ethnicity,6,"Other, Non-Hispanic",206,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Broome,Total,1,Total,"5,704",100,15,262.97,2,35.06,9,157.78,1,17.53,1,17.53,1,17.53,5,87.66,0,0
2016-2018,Cattaraugus,Age Group,1,<20,268,12.36,1,373.13,0,0,0,0,0,0,0,0,0,0,1,373.13,0,0
2016-2018,Cattaraugus,Age Group,2,20-35,"1,741",80.27,3,172.31,0,0,0,0,0,0,0,0,0,0,3,172.31,0,0
2016-2018,Cattaraugus,Age Group,3,>35,160,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Education,1,Less than high school,275,12.68,2,727.27,0,0,0,0,0,0,0,0,0,0,2,727.27,0,0
2016-2018,Cattaraugus,Education,2,High school graduate or GED,727,33.52,1,137.55,0,0,0,0,0,0,0,0,0,0,1,137.55,0,0
2016-2018,Cattaraugus,Education,3,Some College,435,20.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Education,4,AA Degree,261,12.03,1,383.14,0,0,0,0,0,0,0,0,0,0,1,383.14,0,0
2016-2018,Cattaraugus,Education,5,BA degree or higher,451,20.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Education,6,Unknown,2,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,1,"White, Non-Hispanic","1,912",88.15,4,209.21,0,0,0,0,0,0,0,0,0,0,4,209.21,0,0
2016-2018,Cattaraugus,Race/Ethnicity,2,"Black, Non-Hispanic",55,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,3,Hispanic,31,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",159,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",7,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cattaraugus,Total,1,Total,"2,169",100,4,184.42,0,0,0,0,0,0,0,0,0,0,4,184.42,0,0
2016-2018,Cayuga,Age Group,1,<20,173,8.56,1,578.03,0,0,1,578.03,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Age Group,2,20-35,"1,647",81.53,4,242.87,1,60.72,1,60.72,0,0,2,121.43,1,60.72,1,60.72,0,0
2016-2018,Cayuga,Age Group,3,>35,200,9.9,1,500,1,500,0,0,0,0,0,0,0,0,1,500,1,500
2016-2018,Cayuga,Education,1,Less than high school,223,11.04,2,896.86,1,448.43,1,448.43,0,0,1,448.43,1,448.43,0,0,0,0
2016-2018,Cayuga,Education,2,High school graduate or GED,555,27.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Education,3,Some College,379,18.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Education,4,AA Degree,274,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Education,5,BA degree or higher,506,25.05,3,592.89,1,197.63,1,197.63,0,0,0,0,0,0,2,395.26,1,197.63
2016-2018,Cayuga,Education,6,Unknown,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,1,"White, Non-Hispanic","1,857",91.93,6,323.1,2,107.7,2,107.7,0,0,2,107.7,1,53.85,2,107.7,1,53.85
2016-2018,Cayuga,Race/Ethnicity,2,"Black, Non-Hispanic",95,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,3,Hispanic,38,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",16,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,6,"Other, Non-Hispanic",4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Cayuga,Total,1,Total,"2,020",100,6,297.03,2,99.01,2,99.01,0,0,2,99.01,1,49.5,2,99.01,1,49.5
2016-2018,Chautauqua,Age Group,1,<20,411,13.27,2,486.62,0,0,0,0,0,0,0,0,0,0,2,486.62,0,0
2016-2018,Chautauqua,Age Group,2,20-35,"2,476",79.92,13,525.04,3,121.16,5,201.94,1,40.39,1,40.39,1,40.39,7,282.71,1,40.39
2016-2018,Chautauqua,Age Group,3,>35,211,6.81,2,947.87,0,0,0,0,0,0,0,0,0,0,2,947.87,0,0
2016-2018,Chautauqua,Education,1,Less than high school,477,15.4,1,209.64,0,0,0,0,0,0,0,0,0,0,1,209.64,0,0
2016-2018,Chautauqua,Education,2,High school graduate or GED,966,31.18,5,517.6,0,0,3,310.56,0,0,0,0,0,0,2,207.04,0,0
2016-2018,Chautauqua,Education,3,Some College,596,19.24,6,1006.71,3,503.36,2,335.57,1,167.79,1,167.79,1,167.79,3,503.36,1,167.79
2016-2018,Chautauqua,Education,4,AA Degree,371,11.98,2,539.08,0,0,0,0,0,0,0,0,0,0,2,539.08,0,0
2016-2018,Chautauqua,Education,5,BA degree or higher,651,21.01,3,460.83,0,0,0,0,0,0,0,0,0,0,3,460.83,0,0
2016-2018,Chautauqua,Education,6,Unknown,5,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Race/Ethnicity,1,"White, Non-Hispanic","2,532",81.73,15,592.42,3,118.48,4,157.98,1,39.49,1,39.49,1,39.49,10,394.94,1,39.49
2016-2018,Chautauqua,Race/Ethnicity,2,"Black, Non-Hispanic",77,2.49,1,1298.7,0,0,0,0,0,0,0,0,0,0,1,1298.7,0,0
2016-2018,Chautauqua,Race/Ethnicity,3,Hispanic,396,12.78,1,252.53,0,0,1,252.53,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",58,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Race/Ethnicity,6,"Other, Non-Hispanic",15,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",8,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chautauqua,Total,1,Total,"3,098",100,17,548.74,3,96.84,5,161.39,1,32.28,1,32.28,1,32.28,11,355.07,1,32.28
2016-2018,Chemung,Age Group,1,<20,318,13.02,1,314.47,0,0,0,0,0,0,1,314.47,0,0,1,314.47,0,0
2016-2018,Chemung,Age Group,2,20-35,"1,936",79.25,5,258.26,1,51.65,1,51.65,0,0,1,51.65,0,0,3,154.96,1,51.65
2016-2018,Chemung,Age Group,3,>35,189,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Education,1,Less than high school,387,15.84,1,258.4,1,258.4,0,0,0,0,0,0,0,0,1,258.4,1,258.4
2016-2018,Chemung,Education,2,High school graduate or GED,709,29.02,2,282.09,0,0,1,141.04,0,0,1,141.04,0,0,1,141.04,0,0
2016-2018,Chemung,Education,3,Some College,504,20.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Education,4,AA Degree,245,10.03,1,408.16,0,0,0,0,0,0,0,0,0,0,1,408.16,0,0
2016-2018,Chemung,Education,5,BA degree or higher,551,22.55,1,181.49,0,0,0,0,0,0,0,0,0,0,1,181.49,0,0
2016-2018,Chemung,Education,6,Unknown,4,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,1,"White, Non-Hispanic","2,094",85.71,6,286.53,1,47.76,1,47.76,0,0,2,95.51,0,0,4,191.02,1,47.76
2016-2018,Chemung,Race/Ethnicity,2,"Black, Non-Hispanic",167,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,3,Hispanic,81,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",47,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,6,"Other, Non-Hispanic",50,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Race/Ethnicity,7,"Multi-Racial, Non-Hispanic",1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chemung,Total,1,Total,"2,443",100,6,245.6,1,40.93,1,40.93,0,0,2,81.87,0,0,4,163.73,1,40.93
2016-2018,Chenango,Age Group,1,<20,139,9.75,1,719.42,1,719.42,0,0,0,0,0,0,0,0,1,719.42,1,719.42
2016-2018,Chenango,Age Group,2,20-35,"1,177",82.6,2,169.92,1,84.96,0,0,0,0,1,84.96,1,84.96,1,84.96,0,0
2016-2018,Chenango,Age Group,3,>35,109,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Education,1,Less than high school,139,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Education,2,High school graduate or GED,485,34.04,1,206.19,1,206.19,0,0,0,0,0,0,0,0,1,206.19,1,206.19
2016-2018,Chenango,Education,3,Some College,268,18.81,1,373.13,1,373.13,0,0,0,0,1,373.13,1,373.13,0,0,0,0
2016-2018,Chenango,Education,4,AA Degree,163,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Education,5,BA degree or higher,243,17.05,1,411.52,0,0,0,0,0,0,0,0,0,0,1,411.52,0,0
2016-2018,Chenango,Education,6,Unknown,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Race/Ethnicity,1,"White, Non-Hispanic","1,383",97.05,3,216.92,2,144.61,0,0,0,0,1,72.31,1,72.31,2,144.61,1,72.31
2016-2018,Chenango,Race/Ethnicity,2,"Black, Non-Hispanic",12,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Race/Ethnicity,3,Hispanic,12,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",5,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Race/Ethnicity,6,"Other, Non-Hispanic",13,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Chenango,Total,1,Total,"1,425",100,3,210.53,2,140.35,0,0,0,0,1,70.18,1,70.18,2,140.35,1,70.18
2016-2018,Clinton,Age Group,1,<20,144,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Age Group,2,20-35,"1,556",83.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Age Group,3,>35,171,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Education,1,Less than high school,162,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Education,2,High school graduate or GED,426,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Education,3,Some College,324,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Education,4,AA Degree,227,12.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Education,5,BA degree or higher,453,24.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,1,"White, Non-Hispanic","1,765",94.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,2,"Black, Non-Hispanic",46,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,3,Hispanic,21,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,4,"Native American/Alaska Native, Non-Hispanic",3,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,5,"Asian/Pacific Islander, Non-Hispanic",24,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2018,Clinton,Race/Ethnicity,6,"Other, Non-Hispanic",6,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
